sensor_id,latitude,longitude
164,52.389983000188224,4.88781099987638
4275959,52.389983000188224,4.88781099987638
4244,52.389983000188224,4.88781099987638
4186,52.389983000188224,4.88781099987638
119,52.389983000188224,4.88781099987638
4235,52.389983000188224,4.88781099987638
157,52.359714000013874,4.866208000411839
4275709,52.359714000013874,4.866208000411839
4364,52.359714000013874,4.866208000411839
4461,52.359714000013874,4.866208000411839
4383,52.359714000013874,4.866208000411839
4390,52.359714000013874,4.866208000411839
4700,52.39397200025616,4.870156999790721
4344,52.39397200025616,4.870156999790721
160,52.39397200025616,4.870156999790721
7696649,52.38542199986677,4.875749999682863
4204,52.38542199986677,4.875749999682863
5079267,52.37205599978701,4.904399999582005
5079266,52.37205599978701,4.904399999582005
4275711,52.38931400010768,4.9438219998869615
4314,52.38931400010768,4.9438219998869615
4310,52.38931400010768,4.9438219998869615
4276172,52.374786000246935,4.86031900024369
4459,52.374786000246935,4.86031900024369
4358,52.374786000246935,4.86031900024369
4275692,52.35803899985509,4.899699999642448
4524,52.35803899985509,4.899699999642448
4504,52.35803899985509,4.899699999642448
4430,52.35803899985509,4.899699999642448
10430148,52.369839,4.906271
10430141,52.369839,4.906271
10430144,52.369839,4.906271
10430127,52.369839,4.906271
10430143,52.369839,4.906271
10430147,52.369839,4.906271
10778378,52.394666,4.882311
10778352,52.394666,4.882311
10778373,52.394666,4.882311
10778367,52.394666,4.882311
10778374,52.394666,4.882311
10778370,52.394666,4.882311
